Name,Logo,Address,Purpose of Use
Sync,https://www.sync.com/hubfs/sync-logo-color.svg,https://www.sync.com,Cloud Drive
Pcloud,https://pcdn-www.pcloud.com/ZWcqU/images/logo/pcloud.svg,https://www.pcloud.com/,Cloud Drive
